[25/05/26 13:07:13] [utils.py:   82]: PyTorch Version: torch=2.5.0+cu124, cuda=12.4, cudnn=90100
[25/05/26 13:07:13] [utils.py:   83]: BN:
  EPS: 1e-05
  MOM: 0.1
CKPT_DIR: ./ckpt
CORRUPTION:
  DATASET: cifar10
  IMG_SIZE: 32
  NUM_CHANNEL: 3
  NUM_CLASSES: 10
  NUM_EX: 10000
  SEVERITY: [5, 4, 3, 2, 1]
  TYPE: ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression']
CUDNN:
  BENCHMARK: True
DATA_DIR: /scratch-shared/tea3/cifar10
DESC: 
EARLY_STOP_BEGIN: 70
EARLY_STOP_PATIENCE: 30
EATA:
  D_MARGIN: 0.05
  E_MARGIN: 2.763102111592855
  FISHER_ALPHA: 2000.0
  FISHER_SIZE: 2000
  USE_FISHER: False
EBM:
  BUFFER_SIZE: 10000
  REINIT_FREQ: 0.05
  SGLD_LR: 1.0
  SGLD_STD: 0.01
  STEPS: 20
  UNCOND: uncond
LOG_DEST: ttt_bn_adam-1-0.001-200_250526-130713.txt
LOG_TIME: 250526-130713
MODEL:
  ADAPTATION: ttt
  ADA_PARAM: ['bn']
  ARCH: WRN2810_TTT
  CHECKPOINT_PTH: None
  EPISODIC: False
OPTIM:
  BATCH_SIZE: 200
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LAMBDA_CLS: 1.0
  LAMBDA_ENERGY: 1.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  N_EPOCHS: 200
  SCHEDULER_GAMMA: 0.2
  SCHEDULER_MILESTONES: [60, 120, 160]
  STEPS: 1
  TEST_BATCH_SIZE: 128
  WARMUP_START_LR: 1e-06
  WARMUP_STEPS: 1000
  WD: 0.0
OPTIM_ENERGY:
  BATCH_SIZE: 128
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  STEPS: 1
  WD: 0.0
PL:
  ALPHA: 0.1
  THRESHOLD: 0.9
RNG_SEED: 511
SAR:
  MARGIN_E0: 2.763102111592855
SAVE_DIR: ./save/cifar10/bn-wrn-28-10-ttt
SHOT:
  CLF_COEFF: 0.1
  THRESHOLD: 0.9
TEST:
  
[25/05/26 13:08:12] [ttt_eval.py:  212]: Test set Accuracy: 0.8763
[25/05/26 13:09:10] [ttt_eval.py:  184]: acc % [gaussian_noise5]: 70.22%
[25/05/26 13:10:07] [ttt_eval.py:  184]: acc % [gaussian_noise4]: 71.58%
[25/05/26 13:11:05] [ttt_eval.py:  184]: acc % [gaussian_noise3]: 71.66%
[25/05/26 13:12:02] [ttt_eval.py:  184]: acc % [gaussian_noise2]: 81.08%
[25/05/26 13:13:00] [ttt_eval.py:  184]: acc % [gaussian_noise1]: 83.11%
[25/05/26 13:13:57] [ttt_eval.py:  184]: acc % [shot_noise5]: 72.47%
[25/05/26 13:14:55] [ttt_eval.py:  184]: acc % [shot_noise4]: 76.55%
[25/05/26 13:15:52] [ttt_eval.py:  184]: acc % [shot_noise3]: 78.44%
[25/05/26 13:16:49] [ttt_eval.py:  184]: acc % [shot_noise2]: 84.11%
[25/05/26 13:17:47] [ttt_eval.py:  184]: acc % [shot_noise1]: 85.71%
[25/05/26 13:18:44] [ttt_eval.py:  184]: acc % [impulse_noise5]: 61.36%
[25/05/26 13:19:42] [ttt_eval.py:  184]: acc % [impulse_noise4]: 69.21%
[25/05/26 13:20:39] [ttt_eval.py:  184]: acc % [impulse_noise3]: 75.10%
[25/05/26 13:21:37] [ttt_eval.py:  184]: acc % [impulse_noise2]: 78.41%
[25/05/26 13:22:34] [ttt_eval.py:  184]: acc % [impulse_noise1]: 83.28%
[25/05/26 13:23:32] [ttt_eval.py:  184]: acc % [defocus_blur5]: 82.43%
[25/05/26 13:24:29] [ttt_eval.py:  184]: acc % [defocus_blur4]: 85.47%
[25/05/26 13:25:27] [ttt_eval.py:  184]: acc % [defocus_blur3]: 87.01%
[25/05/26 13:26:24] [ttt_eval.py:  184]: acc % [defocus_blur2]: 87.69%
[25/05/26 13:27:22] [ttt_eval.py:  184]: acc % [defocus_blur1]: 88.04%
[25/05/26 13:28:19] [ttt_eval.py:  184]: acc % [glass_blur5]: 56.74%
[25/05/26 13:29:17] [ttt_eval.py:  184]: acc % [glass_blur4]: 53.64%
[25/05/26 13:30:14] [ttt_eval.py:  184]: acc % [glass_blur3]: 68.94%
[25/05/26 13:31:12] [ttt_eval.py:  184]: acc % [glass_blur2]: 65.48%
[25/05/26 13:32:09] [ttt_eval.py:  184]: acc % [glass_blur1]: 66.09%
[25/05/26 13:33:06] [ttt_eval.py:  184]: acc % [motion_blur5]: 68.97%
[25/05/26 13:34:04] [ttt_eval.py:  184]: acc % [motion_blur4]: 75.17%
[25/05/26 13:35:01] [ttt_eval.py:  184]: acc % [motion_blur3]: 74.17%
