[25/05/25 01:37:11] [utils.py:   82]: PyTorch Version: torch=2.5.0+cu124, cuda=12.4, cudnn=90100
[25/05/25 01:37:11] [utils.py:   83]: BN:
  EPS: 1e-05
  MOM: 0.1
CKPT_DIR: ./ckpt
CORRUPTION:
  DATASET: cifar10
  IMG_SIZE: 32
  NUM_CHANNEL: 3
  NUM_CLASSES: 10
  NUM_EX: 10000
  SEVERITY: [5, 4, 3, 2, 1]
  TYPE: ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression']
CUDNN:
  BENCHMARK: True
DATA_DIR: /scratch-shared/tea2/cifar10
DESC: 
EARLY_STOP_BEGIN: 70
EARLY_STOP_PATIENCE: 30
EATA:
  D_MARGIN: 0.05
  E_MARGIN: 2.763102111592855
  FISHER_ALPHA: 2000.0
  FISHER_SIZE: 2000
  USE_FISHER: False
EBM:
  BUFFER_SIZE: 10000
  REINIT_FREQ: 0.05
  SGLD_LR: 1.0
  SGLD_STD: 0.01
  STEPS: 20
  UNCOND: uncond
LOG_DEST: ttt_bn_adam-1-0.001-200_250525-013711.txt
LOG_TIME: 250525-013711
MODEL:
  ADAPTATION: ttt
  ADA_PARAM: ['bn']
  ARCH: WRN2810_TTT
  CHECKPOINT_PTH: None
  EPISODIC: False
OPTIM:
  BATCH_SIZE: 200
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LAMBDA_CLS: 1.0
  LAMBDA_ENERGY: 1.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  N_EPOCHS: 200
  SCHEDULER_GAMMA: 0.2
  SCHEDULER_MILESTONES: [60, 120, 160]
  STEPS: 1
  TEST_BATCH_SIZE: 128
  WARMUP_START_LR: 1e-06
  WARMUP_STEPS: 1000
  WD: 0.0
OPTIM_ENERGY:
  BATCH_SIZE: 128
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  STEPS: 1
  WD: 0.0
PL:
  ALPHA: 0.1
  THRESHOLD: 0.9
RNG_SEED: 511
SAR:
  MARGIN_E0: 2.763102111592855
SAVE_DIR: ./save/cifar10/bn-wrn-28-10-ttt
SHOT:
  CLF_COEFF: 0.1
  THRESHOLD: 0.9
TEST:
  
[25/05/25 01:37:24] [ttt_eval.py:  212]: Test set Accuracy: 0.8724
[25/05/25 01:37:33] [ttt_eval.py:  185]: acc % [gaussian_noise5]: 63.01%
[25/05/25 01:37:43] [ttt_eval.py:  185]: acc % [gaussian_noise4]: 67.11%
[25/05/25 01:37:52] [ttt_eval.py:  185]: acc % [gaussian_noise3]: 70.26%
[25/05/25 01:38:01] [ttt_eval.py:  185]: acc % [gaussian_noise2]: 76.68%
[25/05/25 01:38:10] [ttt_eval.py:  185]: acc % [gaussian_noise1]: 81.17%
[25/05/25 01:38:19] [ttt_eval.py:  185]: acc % [shot_noise5]: 65.59%
[25/05/25 01:38:28] [ttt_eval.py:  185]: acc % [shot_noise4]: 72.80%
[25/05/25 01:38:37] [ttt_eval.py:  185]: acc % [shot_noise3]: 74.85%
[25/05/25 01:38:47] [ttt_eval.py:  185]: acc % [shot_noise2]: 81.50%
[25/05/25 01:38:56] [ttt_eval.py:  185]: acc % [shot_noise1]: 83.43%
[25/05/25 01:39:05] [ttt_eval.py:  185]: acc % [impulse_noise5]: 55.37%
[25/05/25 01:39:14] [ttt_eval.py:  185]: acc % [impulse_noise4]: 62.60%
[25/05/25 01:39:23] [ttt_eval.py:  185]: acc % [impulse_noise3]: 70.68%
[25/05/25 01:39:32] [ttt_eval.py:  185]: acc % [impulse_noise2]: 76.40%
[25/05/25 01:39:42] [ttt_eval.py:  185]: acc % [impulse_noise1]: 81.62%
[25/05/25 01:39:51] [ttt_eval.py:  185]: acc % [defocus_blur5]: 79.82%
[25/05/25 01:40:00] [ttt_eval.py:  185]: acc % [defocus_blur4]: 84.86%
[25/05/25 01:40:09] [ttt_eval.py:  185]: acc % [defocus_blur3]: 85.95%
[25/05/25 01:40:18] [ttt_eval.py:  185]: acc % [defocus_blur2]: 86.95%
[25/05/25 01:40:27] [ttt_eval.py:  185]: acc % [defocus_blur1]: 87.35%
[25/05/25 01:40:36] [ttt_eval.py:  185]: acc % [glass_blur5]: 55.67%
[25/05/25 01:40:46] [ttt_eval.py:  185]: acc % [glass_blur4]: 54.61%
[25/05/25 01:40:55] [ttt_eval.py:  185]: acc % [glass_blur3]: 66.43%
[25/05/25 01:41:04] [ttt_eval.py:  185]: acc % [glass_blur2]: 65.82%
[25/05/25 01:41:13] [ttt_eval.py:  185]: acc % [glass_blur1]: 66.12%
[25/05/25 01:41:22] [ttt_eval.py:  185]: acc % [motion_blur5]: 70.77%
[25/05/25 01:41:32] [ttt_eval.py:  185]: acc % [motion_blur4]: 74.72%
[25/05/25 01:41:41] [ttt_eval.py:  185]: acc % [motion_blur3]: 75.57%
