[25/05/25 01:35:34] [utils.py:   82]: PyTorch Version: torch=2.5.0+cu124, cuda=12.4, cudnn=90100
[25/05/25 01:35:34] [utils.py:   83]: BN:
  EPS: 1e-05
  MOM: 0.1
CKPT_DIR: ./ckpt
CORRUPTION:
  DATASET: cifar10
  IMG_SIZE: 32
  NUM_CHANNEL: 3
  NUM_CLASSES: 10
  NUM_EX: 10000
  SEVERITY: [5, 4, 3, 2, 1]
  TYPE: ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression']
CUDNN:
  BENCHMARK: True
DATA_DIR: /scratch-shared/tea2/cifar10
DESC: 
EARLY_STOP_BEGIN: 70
EARLY_STOP_PATIENCE: 30
EATA:
  D_MARGIN: 0.05
  E_MARGIN: 2.763102111592855
  FISHER_ALPHA: 2000.0
  FISHER_SIZE: 2000
  USE_FISHER: False
EBM:
  BUFFER_SIZE: 10000
  REINIT_FREQ: 0.05
  SGLD_LR: 1.0
  SGLD_STD: 0.01
  STEPS: 20
  UNCOND: uncond
LOG_DEST: ttt_bn_adam-1-0.001-200_250525-013534.txt
LOG_TIME: 250525-013534
MODEL:
  ADAPTATION: ttt
  ADA_PARAM: ['bn']
  ARCH: WRN2810_TTT
  CHECKPOINT_PTH: None
  EPISODIC: False
OPTIM:
  BATCH_SIZE: 200
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LAMBDA_CLS: 1.0
  LAMBDA_ENERGY: 1.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  N_EPOCHS: 200
  SCHEDULER_GAMMA: 0.2
  SCHEDULER_MILESTONES: [60, 120, 160]
  STEPS: 1
  TEST_BATCH_SIZE: 128
  WARMUP_START_LR: 1e-06
  WARMUP_STEPS: 1000
  WD: 0.0
OPTIM_ENERGY:
  BATCH_SIZE: 128
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  STEPS: 1
  WD: 0.0
PL:
  ALPHA: 0.1
  THRESHOLD: 0.9
RNG_SEED: 17
SAR:
  MARGIN_E0: 2.763102111592855
SAVE_DIR: ./save/cifar10/bn-wrn-28-10-ttt
SHOT:
  CLF_COEFF: 0.1
  THRESHOLD: 0.9
TEST:
  
[25/05/25 01:35:46] [ttt_eval.py:  212]: Test set Accuracy: 0.8688
[25/05/25 01:35:56] [ttt_eval.py:  185]: acc % [gaussian_noise5]: 65.97%
[25/05/25 01:36:05] [ttt_eval.py:  185]: acc % [gaussian_noise4]: 67.74%
[25/05/25 01:36:15] [ttt_eval.py:  185]: acc % [gaussian_noise3]: 69.96%
[25/05/25 01:36:24] [ttt_eval.py:  185]: acc % [gaussian_noise2]: 76.74%
[25/05/25 01:36:33] [ttt_eval.py:  185]: acc % [gaussian_noise1]: 81.57%
[25/05/25 01:36:43] [ttt_eval.py:  185]: acc % [shot_noise5]: 66.86%
[25/05/25 01:36:52] [ttt_eval.py:  185]: acc % [shot_noise4]: 72.48%
[25/05/25 01:37:01] [ttt_eval.py:  185]: acc % [shot_noise3]: 74.45%
[25/05/25 01:37:11] [ttt_eval.py:  185]: acc % [shot_noise2]: 82.23%
[25/05/25 01:37:20] [ttt_eval.py:  185]: acc % [shot_noise1]: 83.76%
[25/05/25 01:37:30] [ttt_eval.py:  185]: acc % [impulse_noise5]: 54.14%
[25/05/25 01:37:39] [ttt_eval.py:  185]: acc % [impulse_noise4]: 62.91%
[25/05/25 01:37:49] [ttt_eval.py:  185]: acc % [impulse_noise3]: 69.90%
[25/05/25 01:37:58] [ttt_eval.py:  185]: acc % [impulse_noise2]: 75.31%
[25/05/25 01:38:07] [ttt_eval.py:  185]: acc % [impulse_noise1]: 80.92%
[25/05/25 01:38:16] [ttt_eval.py:  185]: acc % [defocus_blur5]: 79.82%
[25/05/25 01:38:26] [ttt_eval.py:  185]: acc % [defocus_blur4]: 84.13%
[25/05/25 01:38:35] [ttt_eval.py:  185]: acc % [defocus_blur3]: 86.22%
[25/05/25 01:38:44] [ttt_eval.py:  185]: acc % [defocus_blur2]: 87.02%
[25/05/25 01:38:53] [ttt_eval.py:  185]: acc % [defocus_blur1]: 86.73%
[25/05/25 01:39:03] [ttt_eval.py:  185]: acc % [glass_blur5]: 54.21%
[25/05/25 01:39:12] [ttt_eval.py:  185]: acc % [glass_blur4]: 55.48%
[25/05/25 01:39:21] [ttt_eval.py:  185]: acc % [glass_blur3]: 67.86%
[25/05/25 01:39:30] [ttt_eval.py:  185]: acc % [glass_blur2]: 65.23%
[25/05/25 01:39:40] [ttt_eval.py:  185]: acc % [glass_blur1]: 66.25%
[25/05/25 01:39:49] [ttt_eval.py:  185]: acc % [motion_blur5]: 70.23%
[25/05/25 01:39:58] [ttt_eval.py:  185]: acc % [motion_blur4]: 74.05%
[25/05/25 01:40:08] [ttt_eval.py:  185]: acc % [motion_blur3]: 75.53%
