[25/05/26 13:40:12] [utils.py:   82]: PyTorch Version: torch=2.5.0+cu124, cuda=12.4, cudnn=90100
[25/05/26 13:40:12] [utils.py:   83]: BN:
  EPS: 1e-05
  MOM: 0.1
CKPT_DIR: ./ckpt
CORRUPTION:
  DATASET: cifar100
  IMG_SIZE: 32
  NUM_CHANNEL: 3
  NUM_CLASSES: 100
  NUM_EX: 10000
  SEVERITY: [5, 4, 3, 2, 1]
  TYPE: ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression']
CUDNN:
  BENCHMARK: True
DATA_DIR: /scratch-shared/tea3/cifar100
DESC: 
EARLY_STOP_BEGIN: 70
EARLY_STOP_PATIENCE: 30
EATA:
  D_MARGIN: 0.05
  E_MARGIN: 2.763102111592855
  FISHER_ALPHA: 2000.0
  FISHER_SIZE: 2000
  USE_FISHER: False
EBM:
  BUFFER_SIZE: 10000
  REINIT_FREQ: 0.05
  SGLD_LR: 1.0
  SGLD_STD: 0.01
  STEPS: 20
  UNCOND: uncond
LOG_DEST: ttt_bn_adam-1-0.001-200_250526-134012.txt
LOG_TIME: 250526-134012
MODEL:
  ADAPTATION: ttt
  ADA_PARAM: ['bn']
  ARCH: WRN2810_TTT
  CHECKPOINT_PTH: None
  EPISODIC: False
OPTIM:
  BATCH_SIZE: 200
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LAMBDA_CLS: 1.0
  LAMBDA_ENERGY: 1.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  N_EPOCHS: 200
  SCHEDULER_GAMMA: 0.2
  SCHEDULER_MILESTONES: [60, 120, 160]
  STEPS: 1
  TEST_BATCH_SIZE: 128
  WARMUP_START_LR: 1e-06
  WARMUP_STEPS: 1000
  WD: 0.0
OPTIM_ENERGY:
  BATCH_SIZE: 128
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  STEPS: 1
  WD: 0.0
PL:
  ALPHA: 0.1
  THRESHOLD: 0.9
RNG_SEED: 91
SAR:
  MARGIN_E0: 2.763102111592855
SAVE_DIR: ./save/cifar100/bn-wrn-28-10-ttt
SHOT:
  CLF_COEFF: 0.1
  THRESHOLD: 0.9
TEST:
  
[25/05/26 13:41:11] [ttt_eval_2.py:  212]: Test set Accuracy: 0.5935
[25/05/26 13:42:08] [ttt_eval_2.py:  184]: acc % [gaussian_noise5]: 30.49%
[25/05/26 13:43:04] [ttt_eval_2.py:  184]: acc % [gaussian_noise4]: 32.25%
[25/05/26 13:44:01] [ttt_eval_2.py:  184]: acc % [gaussian_noise3]: 37.38%
[25/05/26 13:44:58] [ttt_eval_2.py:  184]: acc % [gaussian_noise2]: 41.52%
[25/05/26 13:45:54] [ttt_eval_2.py:  184]: acc % [gaussian_noise1]: 49.91%
[25/05/26 13:46:51] [ttt_eval_2.py:  184]: acc % [shot_noise5]: 31.86%
[25/05/26 13:47:48] [ttt_eval_2.py:  184]: acc % [shot_noise4]: 38.02%
[25/05/26 13:48:45] [ttt_eval_2.py:  184]: acc % [shot_noise3]: 40.90%
[25/05/26 13:49:42] [ttt_eval_2.py:  184]: acc % [shot_noise2]: 47.54%
[25/05/26 13:50:38] [ttt_eval_2.py:  184]: acc % [shot_noise1]: 52.50%
[25/05/26 13:51:35] [ttt_eval_2.py:  184]: acc % [impulse_noise5]: 22.78%
[25/05/26 13:52:32] [ttt_eval_2.py:  184]: acc % [impulse_noise4]: 27.41%
[25/05/26 13:53:28] [ttt_eval_2.py:  184]: acc % [impulse_noise3]: 35.44%
[25/05/26 13:54:25] [ttt_eval_2.py:  184]: acc % [impulse_noise2]: 43.78%
[25/05/26 13:55:22] [ttt_eval_2.py:  184]: acc % [impulse_noise1]: 49.90%
[25/05/26 13:56:18] [ttt_eval_2.py:  184]: acc % [defocus_blur5]: 47.45%
[25/05/26 13:57:15] [ttt_eval_2.py:  184]: acc % [defocus_blur4]: 49.76%
[25/05/26 13:58:12] [ttt_eval_2.py:  184]: acc % [defocus_blur3]: 53.12%
[25/05/26 13:59:09] [ttt_eval_2.py:  184]: acc % [defocus_blur2]: 54.40%
[25/05/26 14:00:05] [ttt_eval_2.py:  184]: acc % [defocus_blur1]: 56.53%
[25/05/26 14:01:02] [ttt_eval_2.py:  184]: acc % [glass_blur5]: 31.91%
[25/05/26 14:01:59] [ttt_eval_2.py:  184]: acc % [glass_blur4]: 30.60%
[25/05/26 14:02:55] [ttt_eval_2.py:  184]: acc % [glass_blur3]: 38.81%
[25/05/26 14:03:52] [ttt_eval_2.py:  184]: acc % [glass_blur2]: 38.27%
[25/05/26 14:04:49] [ttt_eval_2.py:  184]: acc % [glass_blur1]: 39.06%
[25/05/26 14:05:46] [ttt_eval_2.py:  184]: acc % [motion_blur5]: 33.80%
[25/05/26 14:06:43] [ttt_eval_2.py:  184]: acc % [motion_blur4]: 39.99%
[25/05/26 14:07:39] [ttt_eval_2.py:  184]: acc % [motion_blur3]: 34.61%
[25/05/26 14:08:36] [ttt_eval_2.py:  184]: acc % [motion_blur2]: 42.84%
[25/05/26 14:09:33] [ttt_eval_2.py:  184]: acc % [motion_blur1]: 50.36%
[25/05/26 14:10:29] [ttt_eval_2.py:  184]: acc % [zoom_blur5]: 34.76%
[25/05/26 14:11:26] [ttt_eval_2.py:  184]: acc % [zoom_blur4]: 44.26%
[25/05/26 14:12:23] [ttt_eval_2.py:  184]: acc % [zoom_blur3]: 40.03%
