[25/05/26 13:08:45] [utils.py:   82]: PyTorch Version: torch=2.5.0+cu124, cuda=12.4, cudnn=90100
[25/05/26 13:08:45] [utils.py:   83]: BN:
  EPS: 1e-05
  MOM: 0.1
CKPT_DIR: ./ckpt
CORRUPTION:
  DATASET: cifar10
  IMG_SIZE: 32
  NUM_CHANNEL: 3
  NUM_CLASSES: 10
  NUM_EX: 10000
  SEVERITY: [5, 4, 3, 2, 1]
  TYPE: ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression']
CUDNN:
  BENCHMARK: True
DATA_DIR: /scratch-shared/tea3/cifar10
DESC: 
EARLY_STOP_BEGIN: 70
EARLY_STOP_PATIENCE: 30
EATA:
  D_MARGIN: 0.05
  E_MARGIN: 2.763102111592855
  FISHER_ALPHA: 2000.0
  FISHER_SIZE: 2000
  USE_FISHER: False
EBM:
  BUFFER_SIZE: 10000
  REINIT_FREQ: 0.05
  SGLD_LR: 1.0
  SGLD_STD: 0.01
  STEPS: 20
  UNCOND: uncond
LOG_DEST: ttt_bn_adam-1-0.001-200_250526-130845.txt
LOG_TIME: 250526-130845
MODEL:
  ADAPTATION: ttt
  ADA_PARAM: ['bn']
  ARCH: WRN2810_TTT
  CHECKPOINT_PTH: None
  EPISODIC: False
OPTIM:
  BATCH_SIZE: 200
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LAMBDA_CLS: 1.0
  LAMBDA_ENERGY: 1.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  N_EPOCHS: 200
  SCHEDULER_GAMMA: 0.2
  SCHEDULER_MILESTONES: [60, 120, 160]
  STEPS: 1
  TEST_BATCH_SIZE: 128
  WARMUP_START_LR: 1e-06
  WARMUP_STEPS: 1000
  WD: 0.0
OPTIM_ENERGY:
  BATCH_SIZE: 128
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  STEPS: 1
  WD: 0.0
PL:
  ALPHA: 0.1
  THRESHOLD: 0.9
RNG_SEED: 91
SAR:
  MARGIN_E0: 2.763102111592855
SAVE_DIR: ./save/cifar10/bn-wrn-28-10-ttt
SHOT:
  CLF_COEFF: 0.1
  THRESHOLD: 0.9
TEST:
  
[25/05/26 13:09:57] [ttt_eval.py:  212]: Test set Accuracy: 0.8754
[25/05/26 13:10:54] [ttt_eval.py:  184]: acc % [gaussian_noise5]: 69.03%
[25/05/26 13:11:51] [ttt_eval.py:  184]: acc % [gaussian_noise4]: 71.46%
[25/05/26 13:12:48] [ttt_eval.py:  184]: acc % [gaussian_noise3]: 73.49%
[25/05/26 13:13:45] [ttt_eval.py:  184]: acc % [gaussian_noise2]: 79.90%
[25/05/26 13:14:42] [ttt_eval.py:  184]: acc % [gaussian_noise1]: 82.44%
[25/05/26 13:15:40] [ttt_eval.py:  184]: acc % [shot_noise5]: 71.89%
[25/05/26 13:16:37] [ttt_eval.py:  184]: acc % [shot_noise4]: 76.18%
[25/05/26 13:17:35] [ttt_eval.py:  184]: acc % [shot_noise3]: 78.04%
[25/05/26 13:18:32] [ttt_eval.py:  184]: acc % [shot_noise2]: 83.10%
[25/05/26 13:19:30] [ttt_eval.py:  184]: acc % [shot_noise1]: 86.03%
[25/05/26 13:20:27] [ttt_eval.py:  184]: acc % [impulse_noise5]: 59.14%
[25/05/26 13:21:25] [ttt_eval.py:  184]: acc % [impulse_noise4]: 67.68%
[25/05/26 13:22:22] [ttt_eval.py:  184]: acc % [impulse_noise3]: 74.78%
[25/05/26 13:23:20] [ttt_eval.py:  184]: acc % [impulse_noise2]: 78.72%
[25/05/26 13:24:17] [ttt_eval.py:  184]: acc % [impulse_noise1]: 82.57%
[25/05/26 13:25:15] [ttt_eval.py:  184]: acc % [defocus_blur5]: 82.94%
[25/05/26 13:26:12] [ttt_eval.py:  184]: acc % [defocus_blur4]: 85.78%
[25/05/26 13:27:10] [ttt_eval.py:  184]: acc % [defocus_blur3]: 86.70%
[25/05/26 13:28:07] [ttt_eval.py:  184]: acc % [defocus_blur2]: 88.10%
[25/05/26 13:29:05] [ttt_eval.py:  184]: acc % [defocus_blur1]: 87.94%
[25/05/26 13:30:02] [ttt_eval.py:  184]: acc % [glass_blur5]: 56.57%
[25/05/26 13:31:00] [ttt_eval.py:  184]: acc % [glass_blur4]: 56.69%
[25/05/26 13:31:57] [ttt_eval.py:  184]: acc % [glass_blur3]: 68.37%
[25/05/26 13:32:55] [ttt_eval.py:  184]: acc % [glass_blur2]: 66.24%
[25/05/26 13:33:52] [ttt_eval.py:  184]: acc % [glass_blur1]: 68.20%
[25/05/26 13:34:50] [ttt_eval.py:  184]: acc % [motion_blur5]: 69.74%
[25/05/26 13:35:47] [ttt_eval.py:  184]: acc % [motion_blur4]: 72.67%
[25/05/26 13:36:45] [ttt_eval.py:  184]: acc % [motion_blur3]: 76.87%
